,timestamp,day_of_week,adjusted_close,change
0,2021-01-04 00:00:00+00:00,Monday,111.73,
1,2021-01-05 00:00:00+00:00,Tuesday,109.18,-0.022822876577463513
2,2021-01-06 00:00:00+00:00,Wednesday,116.26,0.06484704158270738
3,2021-01-07 00:00:00+00:00,Thursday,115.09,-0.010063650438671967
4,2021-01-08 00:00:00+00:00,Friday,112.75,-0.020331914154140263
5,2021-01-11 00:00:00+00:00,Monday,117.26,0.040000000000000036
6,2021-01-12 00:00:00+00:00,Tuesday,124.55,0.062169537779293904
7,2021-01-13 00:00:00+00:00,Wednesday,124.06,-0.00393416298675231
8,2021-01-14 00:00:00+00:00,Thursday,129.72,0.045623085603740066
9,2021-01-15 00:00:00+00:00,Friday,129.65,-0.0005396238051186275
10,2021-01-19 00:00:00+00:00,Tuesday,125.01,-0.03578866178172002
11,2021-01-20 00:00:00+00:00,Wednesday,125.14,0.0010399168066554942
12,2021-01-21 00:00:00+00:00,Thursday,132.98,0.0626498321879494
13,2021-01-22 00:00:00+00:00,Friday,131.02,-0.014739058505038205
14,2021-01-25 00:00:00+00:00,Monday,147.0,0.12196611204396257
15,2021-01-26 00:00:00+00:00,Tuesday,151.93,0.03353741496598639
16,2021-01-27 00:00:00+00:00,Wednesday,155.73,0.025011518462449756
17,2021-01-28 00:00:00+00:00,Thursday,159.55,0.024529634624028906
18,2021-01-29 00:00:00+00:00,Friday,173.16,0.08530241303666553
19,2021-02-01 00:00:00+00:00,Monday,157.48,-0.09055209055209057
20,2021-02-02 00:00:00+00:00,Tuesday,158.58,0.006985013970028042
21,2021-02-03 00:00:00+00:00,Wednesday,165.86,0.04590742842729223
22,2021-02-04 00:00:00+00:00,Thursday,173.31,0.044917400217050485
23,2021-02-05 00:00:00+00:00,Friday,176.24,0.01690612197795871
24,2021-02-08 00:00:00+00:00,Monday,185.98,0.05526554698138897
25,2021-02-09 00:00:00+00:00,Tuesday,179.52,-0.034734917733089454
26,2021-02-10 00:00:00+00:00,Wednesday,179.34,-0.0010026737967915311
27,2021-02-11 00:00:00+00:00,Thursday,183.44,0.02286160365785661
28,2021-02-12 00:00:00+00:00,Friday,183.74,0.0016354121238553176
29,2021-02-16 00:00:00+00:00,Tuesday,178.53,-0.028355284641341072
30,2021-02-17 00:00:00+00:00,Wednesday,176.76,-0.009914300117627395
31,2021-02-18 00:00:00+00:00,Thursday,169.57,-0.04067662367051372
32,2021-02-19 00:00:00+00:00,Friday,174.74,0.030488883646871523
33,2021-02-22 00:00:00+00:00,Monday,159.37,-0.08795925374842628
34,2021-02-23 00:00:00+00:00,Tuesday,150.17,-0.05772730124866676
35,2021-02-24 00:00:00+00:00,Wednesday,144.79,-0.03582606379436637
36,2021-02-25 00:00:00+00:00,Thursday,148.38,0.024794530008978466
37,2021-02-26 00:00:00+00:00,Friday,154.81,0.04333468122388462
38,2021-03-01 00:00:00+00:00,Monday,157.4,0.016730185388540875
39,2021-03-02 00:00:00+00:00,Tuesday,146.81,-0.06728081321473955
40,2021-03-03 00:00:00+00:00,Wednesday,131.22,-0.1061916763163272
41,2021-03-04 00:00:00+00:00,Thursday,132.3,0.008230452674897304
42,2021-03-05 00:00:00+00:00,Friday,132.19,-0.0008314436885866749
43,2021-03-08 00:00:00+00:00,Monday,123.47,-0.06596565549587718
44,2021-03-09 00:00:00+00:00,Tuesday,130.87,0.05993358710617969
45,2021-03-10 00:00:00+00:00,Wednesday,129.75,-0.008558111102620947
46,2021-03-11 00:00:00+00:00,Thursday,140.47,0.08262042389210023
47,2021-03-12 00:00:00+00:00,Friday,136.99,-0.024773973090339463
48,2021-03-15 00:00:00+00:00,Monday,143.66,0.04868968537849461
49,2021-03-16 00:00:00+00:00,Tuesday,156.02,0.08603647501044143
50,2021-03-17 00:00:00+00:00,Wednesday,147.55,-0.054287911806178646
51,2021-03-18 00:00:00+00:00,Thursday,141.46,-0.04127414435784482
52,2021-03-19 00:00:00+00:00,Friday,143.74,0.016117630425561913
53,2021-03-22 00:00:00+00:00,Monday,145.6,0.012940030610824937
54,2021-03-23 00:00:00+00:00,Tuesday,136.52,-0.06236263736263725
55,2021-03-24 00:00:00+00:00,Wednesday,131.61,-0.03596542631116317
56,2021-03-25 00:00:00+00:00,Thursday,133.33,0.01306891573588631
57,2021-03-26 00:00:00+00:00,Friday,133.28,-0.00037500937523449185
58,2021-03-29 00:00:00+00:00,Monday,123.42,-0.07397959183673464
59,2021-03-30 00:00:00+00:00,Tuesday,118.49,-0.03994490358126723
60,2021-03-31 00:00:00+00:00,Wednesday,130.95,0.10515655329563667
61,2021-04-01 00:00:00+00:00,Thursday,132.55,0.012218403970981395
62,2021-04-05 00:00:00+00:00,Monday,129.91,-0.01991701244813293
63,2021-04-06 00:00:00+00:00,Tuesday,133.53,0.027865445308290493
64,2021-04-07 00:00:00+00:00,Wednesday,131.47,-0.015427244813899565
65,2021-04-08 00:00:00+00:00,Thursday,133.88,0.018331178215562405
66,2021-04-09 00:00:00+00:00,Friday,140.92,0.05258440394383035
67,2021-04-12 00:00:00+00:00,Monday,139.4,-0.010786261708770839
68,2021-04-13 00:00:00+00:00,Tuesday,149.71,0.07395982783357247
