Word,Count
review,990
covid,920
uk,801
new,720
climate,392
up,382
world,369
england,354
first,313
australia,291
crisis,281
people,265
christmas,246
best,241
police,240
letters,232
against,228
johnson,215
obituary,213
plan,212
boris,210
life,209
david,196
australian,195
tv,193
cup,192
manchester,190
league,183
guardian,172
vaccine,171
government,168
nsw,165
court,164
omicron,164
home,162
view,159
women,159
win,157
australias,155
cases,153
tory,148
v,145
city,145
still,144
man,142
editorial,142
mps,141
finds,141
john,141
report,140
black,139
face,139
end,138
year,137
great,137
party,135
record,133
biden,132
rise,132
pandemic,131
united,131
rules,130
big,129
british,128
premier,128
change,126
top,125
need,124
death,123
family,123
deal,123
being,122
work,122
down,122
show,121
most,120
live,120
letter,118
game,118
help,118
tell,117
warns,116
bill,115
global,115
china,115
labour,113
britain,112
house,112
trump,111
stop,111
hit,110
power,110
under,110
match,110
children,108
attack,108
health,107
five,107
womens,106
west,106
fight,105
set,104
nhs,104
facebook,104
energy,104
call,103
liverpool,103
action,102
workers,102
morrison,102
abuse,101
return,100
shows,100
want,100
claims,100
love,99
pay,98
care,98
study,97
next,97
deaths,96
there,96
social,95
south,94
case,94
young,94
country,94
london,93
staff,93
eu,92
would,92
minister,91
lockdown,91
mp,91
calls,91
zero,91
despite,90
zealand,89
newcastle,89
war,88
last,88
found,87
scott,87
high,87
variant,86
rights,86
faces,86
former,86
again,86
law,86
accused,86
know,85
things,85
preview,85
football,85
test,85
told,84
inquiry,84
winter,84
national,83
keep,83
french,83
tories,83
support,83
englands,82
woman,82
cut,81
risk,81
ever,81
tax,81
thing,81
art,80
victoria,80
give,80
public,79
star,79
future,78
green,77
music,77
did,77
film,77
border,77
wins,76
row,76
pm,76
only,76
start,76
emissions,76
history,76
net,76
white,76
never,76
prize,76
fuel,75
jonathan,75
wont,75
news,75
story,75
sexual,75
good,75
lost,75
leave,74
long,74
michael,74
media,74
without,74
trial,74
really,74
tonight,74
chelsea,74
johnsons,73
brief,73
see,73
since,72
wales,72
real,72
plans,71
observer,71
leaders,71
ireland,71
reports,70
uks,70
lead,70
mail,70
stephen,69
culture,69
ministers,69
better,69
job,69
men,69
questions,69
travel,69
final,68
chief,68
firms,68
cost,68
diary,68
brexit,68
made,68
going,67
talks,67
murder,67
channel,67
days,67
hits,67
violence,66
election,66
hope,66
ban,66
own,65
oil,65
vote,65
ashes,65
guide,65
capitol,65
money,65
four,65
fears,65
takes,65
northern,64
dies,64
racism,64
corrections,64
play,64
reveals,63
put,63
key,63
sex,63
industry,63
far,63
past,63
worlds,63
arsenal,63
battle,63
open,62
gas,62
food,62
clarifications,62
where,62
recipe,61
emma,61
during,61
car,61
jobs,61
labor,61
prices,61
making,61
jones,61
red,60
experts,60
second,60
france,60
use,60
owen,60
smith,60
race,60
behind,60
sunak,60
budget,60
andrew,60
come,59
dog,59
morning,59
look,59
other,59
human,59
booster,58
target,58
coalition,58
killing,58
series,58
school,58
rate,58
quick,57
through,57
urges,57
supply,57
drama,57
role,57
quiz,57
find,57
dead,57
changed,57
six,57
europe,57
english,56
state,56
jabs,56
victory,56
briefing,56
talking,56
think,56
nations,56
tells,56
strike,56
politics,55
business,55
secret,55
andy,55
paul,55
system,55
economy,55
urged,55
countries,55
firm,55
bank,55
africa,54
season,54
act,54
book,54
ive,54
fear,54
activists,54
night,54
restrictions,54
months,54
needs,54
another,53
inflation,53
stay,53
inside,53
melbourne,53
fire,53
rising,53
living,53
ahead,53
warn,52
britains,52
indigenous,52
away,52
seven,52
watchdog,52
threat,52
pressure,52
books,52
title,52
used,51
online,51
every,51
williams,51
run,51
age,51
much,51
office,51
homes,51
vaccination,51
little,51
australians,50
joe,50
even,50
schools,50
fiver,50
peter,50
tackle,50
revealed,50
aged,50
gets,50
takeover,50
bad,49
interest,49
late,49
getting,49
group,49
while,49
across,49
double,49
old,49
cuts,49
champions,49
head,49
hospital,49
records,49
lives,48
sydney,48
storm,48
save,48
scotland,48
less,48
hamilton,48
become,48
price,48
team,48
mark,48
times,48
street,47
bid,47
crime,47
protect,47
policy,47
almost,47
rishi,47
early,47
free,47
kids,47
autumn,47
ready,47
victims,47
cryptic,47
killed,46
town,46
feel,46
turn,46
scientists,46
paterson,46
biggest,46
ask,46
north,46
denies,45
simon,45
became,45
films,45
rates,45
lewis,45
very,45
child,45
cricket,45
everton,45
fossil,45
leader,45
water,45
enough,45
working,45
leicester,45
scheme,44
international,44
step,44
fashion,44
political,44
left,44
weather,44
abortion,44
jab,44
gives,44
always,44
makes,44
california,44
around,43
daniel,43
tests,43
weeks,43
leaves,43
here,43
well,43
scandal,43
wrong,43
these,43
concerns,43
unvaccinated,43
fans,42
federal,42
side,42
legal,42
space,42
protesters,42
james,42
watch,42
wild,42
line,42
laws,42
judge,42
amazon,42
boss,42
facing,42
tech,42
point,42
ham,42
move,42
road,41
holiday,41
electric,41
backs,41
debt,41
goes,41
failing,41
richard,41
hopes,41
surge,41
data,41
given,41
air,41
democracy,41
george,41
reach,41
readers,41
safety,41
funding,41
