,timestamp,day_of_week,adjusted_close,change
0,2021-01-04 00:00:00+00:00,Monday,49.2005580802,
1,2021-01-05 00:00:00+00:00,Tuesday,49.3758569807,0.003562945367697967
2,2021-01-06 00:00:00+00:00,Wednesday,49.5803723646,0.0041420118334338785
3,2021-01-07 00:00:00+00:00,Thursday,48.8791767625,-0.014142604596504627
4,2021-01-08 00:00:00+00:00,Friday,49.5316782256,0.013349272764360265
5,2021-01-11 00:00:00+00:00,Monday,49.2395133914,-0.0058985450254538385
6,2021-01-12 00:00:00+00:00,Tuesday,48.9765650406,-0.005340189873727086
7,2021-01-13 00:00:00+00:00,Wednesday,49.5511558812,0.011731954662881794
8,2021-01-14 00:00:00+00:00,Thursday,49.9504478213,0.008058176101023884
9,2021-01-15 00:00:00+00:00,Friday,49.9991419603,0.0009748488977356917
10,2021-01-19 00:00:00+00:00,Tuesday,51.1970177806,0.023957927543059254
11,2021-01-20 00:00:00+00:00,Wednesday,50.8756364629,-0.006277344494502568
12,2021-01-21 00:00:00+00:00,Thursday,51.1775401249,0.005934150076336797
13,2021-01-22 00:00:00+00:00,Friday,51.8592580714,0.013320647003280284
14,2021-01-25 00:00:00+00:00,Monday,52.5994089847,0.014272300469107213
15,2021-01-26 00:00:00+00:00,Tuesday,53.0181785804,0.007961488613338119
16,2021-01-27 00:00:00+00:00,Wednesday,50.7392928736,-0.042983100661297846
17,2021-01-28 00:00:00+00:00,Thursday,50.6808599068,-0.0011516314771190528
18,2021-01-29 00:00:00+00:00,Friday,49.2784687026,-0.027671022290839953
19,2021-02-01 00:00:00+00:00,Monday,49.0836921465,-0.003952569169214604
20,2021-02-02 00:00:00+00:00,Tuesday,48.752572001,-0.006746031747402181
21,2021-02-03 00:00:00+00:00,Wednesday,48.6941390342,-0.001198561725088032
22,2021-02-04 00:00:00+00:00,Thursday,49.0447368352,0.0071999999990504104
23,2021-02-05 00:00:00+00:00,Friday,48.4311906834,-0.012509928514075619
24,2021-02-08 00:00:00+00:00,Monday,48.752572001,0.006635833500375998
25,2021-02-09 00:00:00+00:00,Tuesday,49.0934309743,0.0069916100691673755
26,2021-02-10 00:00:00+00:00,Wednesday,48.6649225508,-0.008728426899401676
