Word,Count
covid,1953
uk,1159
review,877
new,840
vaccine,573
england,557
lockdown,484
up,441
first,416
obituary,370
trump,352
people,326
australia,303
australian,297
against,293
biden,284
league,263
women,251
police,249
pandemic,248
world,245
government,245
home,244
letters,240
manchester,235
year,230
crisis,227
tv,221
johnson,209
guardian,203
city,202
life,197
view,194
best,191
win,186
face,183
plan,181
down,178
report,178
need,177
end,176
v,176
still,175
black,173
brexit,173
australias,171
big,171
help,169
eu,166
climate,164
united,164
calls,163
six,162
john,160
editorial,158
test,157
london,156
rise,153
premier,153
man,152
return,152
capitol,152
boris,151
david,151
finds,150
rules,149
call,149
nhs,146
death,145
under,145
coronavirus,145
british,140
warns,139
workers,138
pay,136
during,135
schools,135
cases,135
letter,135
hit,134
top,134
set,133
work,133
study,132
labour,132
cup,130
tell,130
court,129
family,129
health,128
britain,127
most,126
news,125
west,125
made,125
risk,124
care,124
last,124
liverpool,122
attack,122
vaccines,121
rights,121
children,121
high,121
fight,121
record,120
ban,120
inquiry,119
football,119
good,119
trumps,119
open,118
love,117
chelsea,117
being,116
change,116
shows,116
house,116
great,116
school,116
plans,115
future,114
joe,114
nations,114
china,114
action,113
englands,113
country,113
second,112
abuse,111
would,111
case,111
nsw,111
minister,109
despite,109
woman,109
trial,108
bill,108
chief,107
faces,107
show,107
fears,107
deaths,106
wales,106
stop,106
india,105
staff,105
match,105
music,104
next,104
four,104
claims,104
power,103
mps,102
talking,101
never,101
thing,101
use,100
war,100
global,100
dies,98
south,98
media,98
behind,98
deal,98
five,97
young,97
film,97
facebook,97
sexual,96
womens,95
uks,95
zealand,95
jonathan,95
quarantine,94
told,94
through,94
story,94
again,94
brief,94
public,93
want,92
support,92
star,91
history,91
party,91
social,91
tonight,90
hope,90
accused,90
long,89
ever,89
arsenal,89
key,88
third,88
business,88
only,88
quick,88
food,88
give,88
bad,87
green,87
look,87
preview,87
live,87
white,86
ireland,86
state,85
there,85
without,85
french,85
diary,85
online,84
going,84
variant,84
did,84
race,84
aged,84
former,84
since,83
national,83
experts,83
corrections,83
travel,83
observer,82
sales,82
sex,81
cut,81
drama,81
violence,81
office,80
days,80
own,79
put,79
things,79
morrison,79
men,79
leave,78
scott,78
rape,78
myanmar,78
fire,78
lost,78
summer,78
keep,77
start,77
art,77
much,77
rollout,77
bidens,77
urged,77
republicans,76
ministers,76
clarifications,76
mail,76
budget,76
hits,76
weeks,75
horses,75
border,75
election,75
meghan,75
players,75
real,75
racism,74
impeachment,74
jab,74
takes,74
wont,73
fa,73
fear,73
human,73
needs,73
firm,73
recipe,72
harry,72
sarah,72
english,72
jobs,72
senate,72
perfect,72
worlds,72
hopes,72
better,72
cuts,72
left,72
law,72
homes,72
see,72
jones,72
emma,71
morning,71
republican,71
feel,71
george,71
ahead,71
legal,70
season,70
far,70
france,70
briefing,70
tory,70
team,70
even,69
dog,69
threat,69
job,69
know,68
michael,68
old,68
donald,68
cryptic,68
found,67
female,67
williams,67
fashion,67
free,67
another,66
scottish,66
firms,66
past,66
ive,66
game,66
head,66
weekend,66
tottenham,66
times,66
many,65
protest,65
culture,65
northern,65
away,65
policy,65
winter,65
leaders,65
find,65
sunak,65
questions,65
move,65
james,64
row,64
pressure,64
system,64
surge,64
political,64
fall,64
play,64
super,64
used,63
sydney,63
industry,63
robert,63
andy,63
scotland,63
market,63
role,63
